test;prova;Exo;Cry
5 min;quick_response;15;8
;no_quick_response;15;22
1 h dopo;Eat X;9;22
;No eat X;12;5
;Move first;4;2
;No move first;3;1
;Move second;0;0
;No move second;2;0
2 h dopo;B_Eat X;11;18
;B_No eat X;11;8
;B_Move first;3;1
;B_No move first;3;0
;B_Move second;1;3
;B_No move second;1;0
